2012 Rank Order,1980 Rank Order,Question and Correct Response,Probability of Recall,,,Response Latency,,Proportion of Errors,,Confidence Judgments,,,,Peer Judgments,,Judge Corrs
135,196,WHAT IS THE CAPITAL OF DELAWARE? (DOVER),0.09,19,193,9.9,19.4,0.15,0.76,39.8,74.6,19.2,32,36.8,216,.60*
136,120,WHAT IS THE LAST NAME OF THE MAN WHO INVENTED THE PHONOGRAPH? (EDISON)b,0.086,17,180,15.8,9.5,0.24,0.68,43.8,63.2,36.8,47,29.8,200,.76*
137,48,IN WHICH TYPE OF SKI RACE DOES THE DOWNHILL SKIER MAKE SHARP TURNS AROUND POLES? (SLALOM)b,0.086,19,202,14.3,19,0.29,0.62,30.4,68.3,19.3,65,33.6,226,.55*
138,153,IN WHICH CITY IS HEATHROW AIRPORT LOCATED? (LONDON)b,0.083,12,133,8.1,14.6,0.26,0.66,31.4,90.8,12.6,38,24.2,145,.50*
139,235,WHAT IS THE CAPITAL OF JAMAICA? (KINGSTON),0.081,12,137,10.5,13.3,0.18,0.74,34.1,77.5,14.7,27,30.5,150,.49*
140,44,WHICH PLANET WAS THE LAST TO BE DISCOVERED? (NEPTUNE)b,0.08,17,195,18.4,7.5,0.77,0.15,51.9,47.6,52.3,164,50.5,217,.76*
141,185,WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “THE MURDERS IN THE RUE MORGUE”? (POE),0.08,11,127,8.5,13.6,0.11,0.81,28.3,55.5,8.5,15,22.7,141,.82*
142,205,WHAT IS THE NAME OF THE SHIP ON WHICH CHARLES DARWIN MADE HIS SCIENTIFIC VOYAGE? (BEAGLE),0.079,11,129,10.2,15.3,0.16,0.76,38.3,98.1,8.5,22,28.1,142,.54*
143,213,WHAT IS THE CAPITAL OF CHILE? (SANTIAGO),0.077,11,131,15.3,11.6,0.19,0.73,35.2,70,21,27,33.8,143,.41*
144,100,WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “THE OLD MAN AND THE SEA”? (HEMINGWAY)b,0.077,16,193,8.9,12.6,0.11,0.81,39.3,75.4,14.1,23,22.5,213,.73*
145,147,WHAT IS THE LAST NAME OF THE MAN WHO WROTE “CANTERBURY TALES”? (CHAUCER)b,0.076,11,134,10.1,15.5,0.23,0.69,37,93.2,18.8,34,33.6,148,.60*
146,262,WHAT IS THE NAME OF THE FOUNTAIN IN ROME INTO WHICH COINS ARE THROWN FOR GOOD LUCK? (TREVI),0.071,14,183,24.7,12.2,0.32,0.6,28.9,86.6,16.3,64,34.1,205,.52*
147,162,WHAT WAS THE LAST NAME OF THE MAN WHO WAS PRESIDENT DIRECTLY AFTER JAMES MADISON? (MONROE)b,0.068,15,205,11.7,14.7,0.4,0.53,29.3,64.3,23.3,88,35.3,221,.53*
148,143,WHAT IS THE LAST NAME OF THE ASTRONOMER WHO PUBLISHED IN 1543 HIS THEORY THAT THE EARTH REVOLVES AROUND THE SUN? (COPERNICUS)b,0.067,9,126,15,16.8,0.5,0.44,50.5,63.3,48.8,67,40.2,139,.69*
149,242,WHAT IS THE LAST NAME OF THE CRIMINAL WHO WAS KNOWN AS “SCARFACE”? (CAPONE),0.066,14,199,9.9,14.3,0.38,0.56,57.7,60.6,57.3,80,50.1,220,.78*
150,12,WHAT IS THE NAME OF THE LONE RANGER’S INDIAN SIDEKICK? (TONTO)b,0.061,13,200,7.5,11.6,0.17,0.77,25.3,71.8,8.9,37,22.3,219,.52*
151,170,WHAT IS THE CAPITAL OF DENMARK? (COPENHAGEN)b,0.06,13,204,23.4,14.4,0.18,0.76,29,52.1,21.3,39,27.2,221,.51*
152,96,WHAT WAS THE LAST NAME OF THE MAN WHO WAS THE RADIO BROADCASTER FOR THE “WAR OF THE WORLDS”? (WELLES)b,0.059,12,190,9.5,20.7,0.13,0.81,32.9,79.9,11.3,26,24.7,209,.44*
153,203,IN WHICH CITY IS MICHELANGELO’S STATUE OF DAVID LOCATED? (FLORENCE),0.058,8,129,14.5,10,0.64,0.3,39.3,60,37.4,88,43,138,.65*
154,146,WHAT WAS FRANK LLOYD WRIGHT’S PROFESSION? (ARCHITECT)b,0.058,12,196,7.8,11.1,0.45,0.49,33.7,91.7,26.3,94,25.9,214,.65*
155,135,OF WHICH COUNTRY IS NAIROBI THE CAPITAL? (KENYA)b,0.053,7,126,6.6,14.6,0.34,0.61,27.9,79.1,19.9,45,26.3,134,.53*
156,134,WHAT IS THE NAME OF THE HILLBILLY FAMILY THAT HAD A FAMOUS FEUD WITH THE MCCOY FAMILY? (HATFIELD)b,0.052,11,199,12.7,16,0.22,0.73,30.8,81.8,18.6,46,27.7,215,.69*
157,156,WHAT KIND OF POISON DID SOCRATES TAKE AS HIS EXECUTION? (HEMLOCK)b,0.052,11,200,7.5,13.8,0.27,0.67,26.7,87.8,15.1,58,23.3,216,.63*
158,74,WHAT IS THE LAST NAME OF THE FIRST PERSON TO COMPLETE A SOLO FLIGHT ACROSS THE ATLANTIC OCEAN? (LINDBERGH)b,0.052,11,201,15.6,14.7,0.38,0.57,43.1,81.8,37.8,80,36.1,219,.66*
159,38,ANDY GRIFFITH WAS THE SHERIFF OF WHAT TOWN ON TELEVISION’S “ANDY GRIFFITH SHOW”? (MAYBERRY)b,0.052,11,202,9.7,13.6,0.15,0.8,34.3,94.5,12.9,31,28.3,220,.64*
160,142,WHAT IS THE NAME OF THE ROMAN EMPEROR WHO FIDDLED WHILE ROME BURNED? (NERO)b,0.052,11,202,10.6,14.8,0.25,0.7,33.8,72.3,25.8,53,23.4,220,.69*
161,231,WHAT IS THE CITY IN WHICH THE BASEBALL HALL OF FAME IS LOCATED? (COOPERSTOWN),0.051,7,130,9.8,17.2,0.41,0.54,29.7,67.9,25,56,43.7,137,.51*
162,98,WHAT IS THE NAME OF THE UNIT OF MEASURE THAT REFERS TO A SIX-FOOT DEPTH OF WATER? (FATHOM)b,0.051,11,206,19.2,17,0.32,0.63,34.9,70.9,29.3,70,29.8,221,.49*
163,108,WHAT IS THE LAST NAME OF THE SCIENTIST WHO DISCOVERED RADIUM? (CURIE)b,0.046,9,186,8.9,11.4,0.19,0.76,19.5,65,8.7,38,19.9,201,.74*
164,149,WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “BRAVE NEW WORLD”? (HUXLEY)b,0.045,7,149,10.9,14.2,0.19,0.77,32.9,98.6,17.1,29,32.3,157,.67*
165,164,IN ADDITION TO THE KENTUCKY DERBY AND THE BELMONT STAKES WHAT HORSE RACE COMPRISES THE TRIPLE CROWN? (PREAKNESS)b,0.044,10,218,21,21.9,0.16,0.8,33.4,96.5,15.9,36,26.2,233,.66*
166,204,WHAT IS THE LAST NAME OF THE CRIMINAL WHO WAS KILLED BY FBI AGENTS OUTSIDE OF A CHICAGO MOVIE THEATER? (DILLINGER),0.044,9,197,17.4,20.6,0.2,0.76,31.8,81.1,20.9,41,22.4,211,.68*
167,95,WHAT IS THE NAME OF THE SINGER WHO POPULARIZED A DANCE KNOWN AS THE “TWIST”? (CHECKER)b,0.041,6,139,21.4,12.8,0.3,0.66,31.4,63.5,27,44,32.5,146,.49*
168,221,OVER WHICH RIVER IS THE GEORGE WASHINGTON BRIDGE? (HUDSON),0.041,6,141,32.2,14.1,0.37,0.59,32.5,73.3,27.9,54,33.9,148,.39*
169,189,WHAT IS THE LAST NAME OF THE MAN WHO INVENTED DYNAMITE? (NOBEL)b,0.04,6,143,7.4,11.3,0.26,0.7,24.6,95,13.8,39,25.8,149,.54*
170,228,WHAT IS THE NAME OF THE CHINESE RELIGION FOUNDED BY LAO TSE? (TAOISM),0.04,8,192,13,13,0.42,0.54,37.9,56.3,36.1,84,28.6,207,.74*
171,84,WHAT IS THE LAST NAME OF THE COMMANDER WHO LOST THE BATTLE OF THE LITTLE BIGHORN RIVER? (CUSTER)b,0.038,8,201,11,12.5,0.2,0.77,31.9,76.3,23.2,41,26.5,212,.66*
172,155,WHAT IS THE NAME OF THE NAVIGATION INSTRUMENT USED AT SEA TO PLOT POSITION BY THE STARS? (SEXTANT)b,0.038,5,127,14.9,19.4,0.54,0.42,32.3,62.2,30.2,71,36.8,134,.58*
173,161,WHO WAS THE MOST FAMOUS GREEK DOCTOR? (HIPPOCRATES)b,0.037,5,131,16.2,15.3,0.18,0.79,27.1,83,15.5,24,23.3,139,.68*
174,165,IN WHICH CITY DOES THE COTTON BOWL TAKE PLACE? (DALLAS)b,0.037,5,131,10.7,14.3,0.36,0.6,23.8,16,24.6,49,33.7,138,.56*
175,192,WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE THE SHERLOCK HOLMES STORIES? (DOYLE),0.036,8,212,17,13.4,0.18,0.79,30.1,90.6,17.6,39,34,226,.59*
176,225,FOR WHICH COUNTRY IS THE DRACHMA THE MONETARY UNIT? (GREECE),0.036,5,135,19.6,15.4,0.31,0.66,24.7,88,17.3,43,20.9,141,0.27
177,148,WHAT IS THE NAME OF THE MANSION IN VIRGINIA THAT WAS THOMAS JEFFERSON’S HOME? (MONTICELLO)b,0.035,7,191,11.9,16.9,0.15,0.81,29.5,89.3,15.5,30,26.7,205,.51*
178,236,WHAT IS THE LONGEST RIVER IN ASIA? (YANGTZE),0.035,7,191,17.3,10,0.37,0.59,33.4,32.1,33.5,74,32.2,202,.71*
179,183,WHAT IS THE LAST NAME OF THE ACTOR WHO RECEIVED THE BEST ACTOR AWARD FOR THE MOVIE “ON THE WATERFRONT”? (BRANDO)b,0.034,5,143,11.3,7.3,0.08,0.89,31.7,100,3.3,12,24.7,151,-0.06
180,91,WHAT IS THE LAST NAME OF THE MALE STAR OF THE MOVIE “CASABLANCA”? (BOGART)b,0.034,5,144,9.6,18.1,0.27,0.7,26.8,86,19.4,40,33.4,149,.55*
181,150,OF WHICH COUNTRY IS BUDAPEST THE CAPITAL? (HUNGARY)b,0.033,7,205,9.9,11.9,0.43,0.54,28.9,70.9,25.7,91,26,215,.64*
182,191,WHO IS KNOWN AS “THE FATHER OF GEOMETRY”? (EUCLID)b,0.033,5,148,20.7,13.2,0.31,0.66,25.5,70,20.7,47,30.4,153,.41*
183,193,WHAT IS THE LAST NAME OF THE HUSBAND-WIFE SPIES WHO WERE ELECTROCUTED IN 1951 FOR PASSING ATOMIC SECRETS TO RUSSIA? (ROSENBERG),0.031,4,126,29,14.9,0.17,0.8,21.7,56.3,15.5,22,20.6,132,.42*
184,261,WHAT IS THE LAST NAME OF THE COMPOSER WHO WROTE THE OPERA “DON GIOVANNI”? (MOZART),0.03,4,128,10.1,12.1,0.21,0.76,18.3,13.8,18.9,28,18.5,132,.60*
185,190,WHAT IS THE LAST NAME OF THE AUTHOR OF THE JAMES BOND NOVELS? (FLEMING)b,0.03,7,225,11.4,9.6,0.16,0.81,19,80.7,7.6,38,29.1,234,.45*
186,122,WHAT WAS THE LAST NAME OF BUFFALO BILL? (CODY)b,0.03,6,196,14.2,10.2,0.27,0.7,29,79.8,23.5,55,26,207,.62*
187,136,WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE UNDER THE PSEUDONYM OF MARK TWAIN? (CLEMENS)b,0.029,6,201,15.2,11.8,0.16,0.81,21.6,61,14.6,34,24.1,214,.68*
188,233,WHAT IS THE NAME OF THE ISLAND ON WHICH NAPOLEON WAS BORN? (CORSICA),0.029,4,136,38.3,13.5,0.28,0.69,25,72.5,20.1,39,27.4,141,.40*
189,157,WHAT IS THE LAST NAME OF THE DOCTOR WHO FIRST DEVELOPED A VACCINE AGAINST POLIO? (SALK)b,0.028,4,137,16.1,19.8,0.16,0.82,26.2,80,16.4,22,29.3,143,.68*
190,181,WHAT IS THE LAST NAME OF THE MAN WHO BEGAN THE REFORMATION IN GERMANY? (LUTHER)b,0.028,4,138,18.7,9.9,0.53,0.44,54.1,75,53,75,42.1,142,.64*
191,211,WHAT IS THE CAPITAL OF FINLAND? (HELSINKI),0.026,4,149,14,10.4,0.17,0.8,19.2,67.3,11.8,26,28.4,154,.53*
192,188,WHAT WAS THE NAME OF THE APOLLO LUNAR MODULE THAT LANDED THE FIRST MAN ON THE MOON? (EAGLE)b,0.025,5,193,30.9,16.9,0.37,0.61,28.9,38.4,28.2,73,39,241,.67*
193,264,WHAT IS THE LAST NAME OF THE COSMONAUT WHO WAS THE FIRST PERSON TO ORBIT AROUND THE EARTH? (GAGARIN),0.024,5,207,10.9,14.6,0.28,0.69,31,70,27.8,60,26.2,217,.46*
194,243,WHAT WAS THE NAME OF ROY ROGER’S DOG? (BULLET),0.021,3,138,8.6,8.1,0.23,0.74,7.1,3.3,7.5,33,21.9,141,.48*
195,171,WHAT WAS THE NAME OF ALEXANDER GRAHAM BELL’S ASSISTANT? (WATSON)b,0.021,3,139,12.5,13.7,0.13,0.85,22.6,26.7,21.9,19,23.1,146,.50*
196,176,WHAT WAS THE LAST NAME OF THE COMPOSER OF THE “MAPLE LEAF RAG”? (JOPLIN)b,0.02,4,196,9.8,9.5,0.15,0.83,14.3,75,6.2,30,16.7,207,.75*
197,216,WHAT IS THE LAST NAME OF THE PLAYWRIGHT WHO WROTE “A STREETCAR NAMED DESIRE”? (WILLIAMS),0.02,4,197,26.9,13.1,0.13,0.85,18.4,87.5,8.1,27,20.1,205,.77*
198,158,WHAT IS THE LAST NAME OF THE AUTHOR OF “LITTLE WOMEN”? (ALCOTT)b,0.02,4,198,6.4,11.4,0.17,0.81,20,72.5,13.9,34,25.3,205,.76*
199,209,WHAT IS THE LAST NAME OF THE FIRST PERSON TO CLIMB MOUNT EVEREST? (HILLARY),0.02,3,149,8.4,9.9,0.13,0.85,22.8,96.7,11.8,20,25.5,155,.62*
200,68,WHAT IS THE LAST NAME OF THE ACTOR WHO PLAYED RHETT BUTLER IN “GONE WITH THE WIND”? (GABLE)b,0.02,4,199,22.7,16,0.14,0.84,17,68.8,9.6,28,23.9,208,0.32
201,254,IN WHICH COUNTRY IS ANGEL FALLS LOCATED? (VENEZUELA),0.02,4,199,17.2,12.7,0.39,0.59,27.4,76.3,25,80,24.7,206,.66*
202,218,WHAT IS THE CAPITAL OF CANADA? (OTTAWA),0.019,4,207,18.1,11.8,0.73,0.25,41.5,65,40.9,154,44.8,215,.61*
203,286,WHAT IS THE LAST NAME OF THE TWENTY-FIRST U.S. PRESIDENT? (ARTHUR),0.019,4,208,26.4,16.8,0.49,0.49,23.4,93.8,20.7,104,32,218,.53*
204,274,WHAT WAS THE NAME OF THE GOLDFISH IN THE STORY OF PINOCCHIO? (CLEO),0.019,4,212,16,10.9,0.24,0.74,15.8,90,10,52,30.1,221,.45*
205,282,WHAT IS THE NAME OF THE VILLAINOUS PEOPLE WHO LIVED UNDERGROUND IN H. G. WELLS’S BOOK “THE TIME MACHINE”? (MORLOCKS),0.018,4,219,19.5,16.4,0.17,0.81,13.5,75,7.1,38,19.6,228,.52*
206,224,WHAT WAS THE LAST NAME OF THE CHARACTER PORTRAYED BY ROBERT STACK ON THE TELEVISION SHOW “THE UNTOUCHABLES”? (NESS),0.015,3,195,11.4,14.9,0.12,0.86,10.8,63.3,4.2,24,24,203,.57*
207,284,WHAT IS THE CAPITAL OF AUSTRALIA? (CANBERRA),0.015,3,196,15.5,7.7,0.63,0.35,70.3,100,69.6,126,52.2,204,.62*
208,259,WHAT IS THE LAST NAME OF THE ARTIST WHO PAINTED “THE PERSISTENCE OF MEMORY”? (DALI),0.015,2,134,16,13.7,0.21,0.77,14.3,57.5,11.3,29,19.3,140,.48*
209,144,WHAT IS THE LAST NAME OF THE MAN WHO INVENTED THE TELEGRAPH? (MORSE)b,0.014,3,210,9.1,12,0.41,0.58,41.8,83.3,40.3,87,35.8,218,.79*
210,160,WHAT IS THE NAME OF THE RIVER ON WHICH BONN IS LOCATED? (RHINE)b,0.014,3,210,17.5,12.1,0.16,0.83,12.9,43.3,10.2,34,17.5,219,.69*
211,247,WHAT IS THE NAME OF THE SUBSTANCE DERIVED FROM A WHALE THAT IS USED TO MAKE PERFUME? (AMBERGRIS),0.014,2,141,41.6,12.9,0.45,0.54,33.8,55,33.1,64,28.8,143,.73*
212,133,"WHAT IS THE NAME OF THE SUBMARINE IN JULES VERNE’S “20,000 LEAGUES BENEATH THE SEA”? (NAUTILUS)b",0.014,2,143,8.4,11,0.12,0.86,15.7,100,6.3,18,23.8,146,.76*
213,223,WHAT WAS THE NAME OF THE CLOWN ON THE “HOWDY DOODY” TELEVISION SHOW? (CLARABELL),0.014,2,143,24.2,10,0.18,0.81,18.5,45,16.5,26,25.3,147,.89*
214,226,WHAT IS THE LAST NAME OF DAGWOOD’S BOSS IN THE COMIC STRIP “BLONDIE”? (DITHERS),0.01,2,190,9.3,10.9,0.1,0.89,15.4,92.5,7.7,20,20.2,198,0.29
215,184,WHAT IS THE LAST NAME OF THE MOVIE ACTOR WHO PORTRAYED SPARTACUS? (DOUGLAS)b,0.01,2,192,7.6,12,0.27,0.72,31.5,45,31,52,31.3,202,.67*
216,230,WHAT IS THE LAST NAME OF THE WOMAN WHO FOUNDED THE AMERICAN RED CROSS? (BARTON),0.01,2,198,14.1,15.6,0.27,0.73,18,87.5,15.4,53,26.4,206,.55*
217,292,WHAT IS THE LAST NAME OF THE UNION GENERAL WHO DEFEATED THE CONFEDERATE ARMY AT THE CIVIL WAR BATTLE OF GETTYSBURG? (MEADE),0.01,2,201,16.6,14.7,0.44,0.55,35.8,60,35.3,89,35.5,209,.55*
218,198,WHAT IS THE NAME OF THE AVENUE THAT IMMEDIATELY FOLLOWS ATLANTIC AVENUE IN THE GAME OF MONOPOLY? (VENTNOR)b,0.01,2,202,31.8,16.4,0.38,0.61,23.1,75,21.7,78,32,213,.63*
219,92,WHICH GAME USES A DOUBLING CUBE? (BACKGAMMON)b,0.01,2,208,26.7,15.7,0.26,0.73,23.6,25,23.5,55,27.6,213,.72*
220,296,WHAT IS THE LAST NAME OF THE MAN WHO SUPPOSEDLY KILLED JESSE JAMES? (FORD),0.009,2,215,9.4,16.6,0.19,0.8,13.2,47.5,11.5,42,25.2,222,.53*
221,245,WHAT IS THE LAST NAME OF THE EUROPEAN AUTHOR WHO WROTE “THE TRIAL”? (KAFKA),0.008,1,127,70.8,11.4,0.13,0.87,2.8,0,3,16,19.9,129,0.27
222,255,THE GENERAL NAMED HANNIBAL WAS FROM WHAT CITY? (CARTHAGE),0.007,1,137,11.5,14.9,0.28,0.71,13.4,40,12.7,39,24.7,143,.43*
223,237,WHAT IS THE LAST NAME OF THE BRITISH ADMIRAL WHO WON THE BATTLE OF TRAFALGAR? (NELSON),0.007,1,138,6.9,13.4,0.12,0.88,8.6,100,2.9,16,18.4,141,-0.12
224,265,WHAT IS THE NAME OF THE INDIAN COLLEGE IN PENNSYLVANIA FOR WHICH JIM THORPE PLAYED FOOTBALL? (CARLISLE),0.007,1,145,66.7,20,0.17,0.82,11.8,100,8.3,25,24.3,147,0.08
225,273,WHAT IS THE NAME OF THE PLAY IN WHICH ELWOOD P. DOWD IS A CHARACTER? (HARVEY),0.007,1,145,6.8,21.8,0.12,0.88,16.8,100,11.9,17,20.2,147,.55*
226,251,WHAT FAMOUS KNOT DID ALEXANDER THE GREAT UNDO? (GORDIAN),0.007,1,148,4.5,12.6,0.17,0.82,8,100,4.5,26,24,151,0.15
227,131,WHAT WAS THE NAME OF THE UNSUCCESSFUL AUTO THAT WAS MANUFACTURED BY THE FORD MOTOR COMPANY FROM 1957–1959? (EDSEL)b,0.007,1,149,5.2,17.9,0.15,0.85,20.3,100,16.7,22,26.7,152,.67*
228,293,WHAT IS THE LAST NAME OF THE SONG WRITER WHO WROTE THE SONG “I LOVE PARIS”? (PORTER),0.007,1,149,35.9,10.9,0.1,0.89,10.9,50,8.3,15,20,153,.68*
229,297,WHAT IS THE LAST NAME OF THE FIRST AMERICAN AUTHOR TO WIN THE NOBEL PRIZE FOR LITERATURE? (LEWIS),0.007,1,150,26.3,15.4,0.24,0.75,19.6,20,19.6,36,26.5,151,.85*
230,219,WHAT IS THE LAST NAME OF THE INVENTOR OF THE WIRELESS RADIO? (MARCONI),0.007,1,152,5.8,14.1,0.24,0.75,25.3,40,24.9,37,26,154,0.22
231,267,WHAT IS THE LAST NAME OF THE ARTIST WHO PAINTED “AMERICAN GOTHIC”? (WOOD),0.007,1,152,18.8,14,0.19,0.8,18.5,100,15.7,29,24.6,153,.45*
232,195,IN WHAT PROFESSION WAS EMMETT KELLY? (CLOWN)b,0.006,1,153,3.9,9.8,0.31,0.68,15.6,100,13.8,48,22.8,157,0.15
233,249,WHAT IS THE NAME OF THE RIVER THAT RUNS THROUGH ROME? (TIBER),0.006,1,154,3.5,18.1,0.23,0.76,22.8,100,20.6,36,32,157,.51*
234,285,WHAT IS THE LAST NAME OF THE POET WHO ORIGINALLY WROTE “DON JUAN”? (BYRON),0.006,1,162,15.3,13.6,0.17,0.83,17,75,14.9,27,21.7,166,.44*
235,210,WHAT IS THE LAST NAME OF THE FRENCH AUTHOR WHO WROTE “THE STRANGER”? (CAMUS),0.005,1,188,7.4,10.8,0.12,0.88,8.8,100,4.6,22,17.8,198,.87*
236,250,WHO WAS THE FIRST RULER OF THE HOLY ROMAN EMPIRE? (CHARLEMAGNE),0.005,1,197,15,12.8,0.47,0.53,30.9,50,30.7,93,28.9,205,.59*
237,276,WHAT IS THE LAST NAME OF THE MAN WHO IS REGARDED AS THE NATIONAL POET OF SCOTLAND? (BURNS),0.005,1,198,6,12.8,0.15,0.84,9.6,70,7.6,30,14.3,202,0.23
238,202,WHAT IS THE LAST NAME OF THE FOOTBALL PLAYER KNOWN AS “THE GALLOPING GHOST”? (GRANGE),0.005,1,199,6.6,12.7,0.2,0.8,6.4,100,4.1,40,27.9,205,-0.08
239,118,WHAT IS THE NAME OF ROY ROGERS’ HORSE? (TRIGGER)b,0.005,1,202,3.9,9.4,0.24,0.76,17.4,100,15.7,48,19,208,.30*
240,288,WHAT WAS THE NAME OF THE NUCLEAR SUBMARINE THAT SUNK IN THE ATLANTIC IN 1963? (THRESHER),0.005,1,204,42.6,16.7,0.15,0.84,11.8,90,9.3,31,22.1,211,.46*
241,248,WHAT IS THE NAME OF THE MAN WHO REMOVED THE THORN FROM THE LION’S PAW IN THE STORY FROM AESOP’S FABLES? (ANDROCLES),0.005,1,205,23.8,12.3,0.19,0.8,14.3,20,14.2,40,22.7,210,.72*
242,232,WHAT IS THE NAME OF THE BRIGHTEST STAR IN THE SKY EXCLUDING THE SUN? (SIRIUS),0.005,1,207,9.8,12.7,0.71,0.29,46.4,50,46.4,147,44.7,216,.69*
243,290,WHAT IS THE NAME OF THE LAND OF THE GIANTS IN “GULLIVER’S TRAVELS”? (BROBDINGNAG),0.005,1,207,21.9,13.3,0.13,0.86,10.7,80,8.2,28,25.9,211,.39*
244,220,WHAT WAS THE LAST NAME OF THE FEMALE STAR OF THE MOVIE “CASABLANCA”? (BERGMAN),0.005,1,209,7.4,10.9,0.19,0.8,13.3,99,11.1,40,24.3,212,.44*
245,238,WHAT IS THE LAST NAME OF THE ACTOR KNOWN AS “THE MAN OF A THOUSAND FACES”? (CHANEY),0.005,1,210,8.3,15.9,0.27,0.73,18,95,16.6,56,26.3,218,.71*
246,194,WHAT IS THE NAME OF THE BASEBALL PLAYER WITH THE HIGHEST LIFETIME BATTING AVERAGE IN THE MAJOR LEAGUES? (COBB)b,0.005,1,212,7.8,14.1,0.68,0.32,35.7,100,35.2,144,43.3,218,.52*
247,116,WHAT WAS THE LAST NAME OF THE ACTOR IN THE ROLE OF PERRY MASON ON TELEVISION? (BURR)b,0.005,1,213,12,10.2,0.12,0.87,13.6,100,10.2,26,20.6,219,.49*
248,212,WHAT IS THE LAST NAME OF THE MOST POPULAR PIN-UP GIRL OF WORLD WAR II? (GRABLE),0.004,1,225,15.5,14,0.42,0.58,39.9,100,39.2,94,30.5,233,.72*
249,50,WHAT IS THE NAME OF THE LARGEST DESERT ON EARTH? (ANTARTICA)b,0,,203,,8.7,0.78,0.22,59.4,,59.4,159,54.5,208,.77*
250,123,WHAT IS THE LAST NAME OF THE JOCKEY WITH THE MOST LIFETIME WINNERS IN HORSE RACING? (BAZE)b,0,,148,,13,0.15,0.85,5.5,,5.5,22,20.9,148,0.25
251,130,WHAT IS THE LAST NAME OF THE MAN WHO WAS THE VOICE OF MR. MAGOO? (BACKUS)b,0,,220,,11.2,0.17,0.83,15.4,,15.4,37,22.6,226,.46*
252,138,WHAT IS THE LAST NAME OF THE ACTOR WHO PORTRAYED SERGEANT FRIDAY ON “DRAGNET”? (WEBB)b,0,,211,,10.4,0.13,0.87,2.3,,2.3,28,17.4,214,.44*
253,141,WHAT WAS THE LAST NAME OF THE ACTOR WHO PORTRAYED THE FATHER ON THE TELEVISION SHOW “FATHER KNOWS BEST”? (YOUNG)b,0,,150,,13.8,0.09,0.91,19.7,,19.7,14,27.7,153,.59*
254,151,WHAT WAS THE LAST NAME OF THE VENTRILOQUIST WHO PROVIDED THE VOICE FOR CHARLIE MCCARTHY? (BERGEN)b,0,,148,,12.6,0.14,0.86,7.5,,7.5,21,16.6,148,.70*
255,163,WHAT WAS THE LAST NAME OF THE CAPTAIN OF THE BRITISH SHIP “BOUNTY” WHEN THE MUTINY OCCURRED? (BLIGH)b,0,,134,,18.3,0.13,0.87,7.9,,7.9,17,17.5,137,0.2
256,172,WHAT IS THE LAST NAME OF THE INVENTOR OF THE STEAMBOAT “CLERMONT”? (FULTON)b,0,,219,,9.7,0.23,0.77,10.5,,10.5,50,19.1,223,.49*
257,173,WHAT IS THE NAME OF GERMANY’S LARGEST BATTLESHIP THAT WAS SUNK IN WORLD WAR II? (BISMARCK)b,0,,148,,14.5,0.15,0.85,23.3,,23.3,22,28.8,148,.59*
258,179,WHAT IS THE LAST NAME OF THE JUDGE WHO WAS KNOWN AS “THE LAW WEST OF THE PECOS”? (BEAN)b,0,,156,,9.1,0.08,0.92,2.1,,2.1,13,18.4,157,.77*
259,180,WHAT IS JOHN KENNETH GALBRAITH’S PROFESSION? (ECONOMIST)b,0,,219,,10.6,0.26,0.74,8.4,,8.4,58,18.7,224,.35*
260,186,WHAT WAS THE NAME OF THE UNION IRONCLAD SHIP THAT FOUGHT THE CONFEDERATE IRONCLAD MERRIMACK? (MONITOR)b,0,,207,,17.6,0.14,0.86,3.2,,3.2,28,16.6,212,.38*
261,197,WHAT IS THE LAST NAME OF THE DOCTOR WHO PERFORMED THE FIRST SUCCESSFUL HUMAN HEART TRANSPLANT? (BARNARD)b,0,,151,,11,0.13,0.87,11,,11,19,19.4,154,.79*
262,208,WHAT IS THE LAST NAME OF THE MAN WHO SAID “I ONLY REGRET THAT I HAVE BUT ONE LIFE TO LOSE FOR MY COUNTRY”? (HALE),0,,206,,18.3,0.27,0.73,17.9,,17.9,56,28.3,212,.49*
263,215,WHAT IS THE LAST NAME OF THE PILOT OF THE U-2 SPY PLANE SHOT DOWN OVER RUSSIA IN 1960? (POWERS),0,,144,,12.7,0.13,0.88,10.6,,10.6,18,24.6,147,.54*
264,217,WHAT IS THE LAST NAME OF THE ACTOR WHO PORTRAYED THE SHERIFF IN THE MOVIE “HIGH NOON”? (COOPER),0,,145,,10.9,0.19,0.81,16.7,,16.7,27,22.5,146,.51*
265,222,WHAT IS THE NAME OF THE MOUNTAIN RANGE THAT SEPARATES ASIA FROM EUROPE? (URAL),0,,212,,14,0.5,0.5,33.8,,33.8,107,35.1,217,.65*
266,227,WHAT IS THE LAST NAME OF THE BOXER WHO WAS KNOWN AS THE “MANASSA MAULER”? (DEMPSEY),0,,140,,10.5,0.24,0.76,14.6,,14.6,33,25,144,.62*
267,229,WHAT IS THE LAST NAME OF THE MAN WHO CREATED THE COMIC STRIP “LI’L ABNER”? (CAPP),0,,146,,13.5,0.14,0.86,3.9,,3.9,20,19.6,150,0.21
